sense_1,sense_2,mark
выбрасывать бросать что л ненужное,бросать что л отказываться от чего л,0
толк,смысл,0
брать взять,брать напрокат,0
брать взять,вычитать вычесть отнимать отнять что либо,0
вспыхивать,вспыхивать,0
выявление,установление,0
укладка,установление,0
ворох куча,куча стопка,0
отдых покой,сон спячка,0
звезда,предмет в форме звезды потолок зала был украшен звездами,0
утрата потеря,неимение отсутствие,0
булыжник,галька,0
черпать,лить наливать переливать,0
говорить,толковать о ком л о чём л весь город говорит что говорят о чём говорят говорят что,0
говорить,разговаривать,0
охота,добыча на охоте дичь,0
удар,хлестнуть,0
удар,удар,0
удар,долбить,0
удар,стремительное нападение внезапная решительная атака решительный удар неотразимый удар молниеносный удар отвлекающий удар неожиданный удар сокрушительный удар фланговый удар отступать под ударами кого чего вывести из под удара принять удар на себя направление удара удар по врагу противнику,0
стучать,колотить молотком,0
ассигнация,ассигнование,0
а рудник шахта прииск копи,а залежь пласт месторождение руды,0
жребий,лот,0
сигнализация,сигнальная установка,0
пол,джинсы одежда спортивного стиля из прочной хлопчатобумажной ткани прошитая цветными нитками,0
разметка,отмечать,0
свист,свист звук свиста,0
чёткость,определённый,0
пояс,ремень,0
медлительный,запоздалый поздний,0
играть,поиграть,0
рог,рог роговое вещество,0
время,срок,0
озабоченность беспокойство,тоска,0
золотистый,лихия обыкновенная,0
слететь полететь,вылететь,0
слушание,заслушание,0
требование,взыскательность,0
вращательное движение поворот взмах качание,колебание,0
балансировка,колебание,0
шумный,вызывающий шум привлекающий широкое внимание шумная история шумный спор,0
сплести,сплестись,0
водворение установление,инсталляция,0
стройность,стройный,0
стройность,громкий,0
заранее обусловленная оплата,признать собственное поражение,0
непобедимый,непреодолимый,0
экземпляр,список,0
читать с пятого на десятое напр выбирая интересные места,читать по складам читать запинаясь,0
самодовольство,гордость,0
поглядывать,смотреть,0
написать писать делать надпись надписывать особенно стихами,смотреть,0
кристаллический гипс,стёкла для очков,0
ЧИРИКАТЬ чирикнуть чирикивать чиликать щебетать,Чирок игра и чурочка кляп чиж по коему бьют палкою и он взлетывает,0
вакансия,вакантная должность,0
жир,употребление мясной пищи,0
Реакционный ретроградный регрессивный,Реакционер ретроград,0
восхвалять прославлять славословить,декламировать,0
отправление отсылка отправка отгрузка перевозка транспортировка,экспедиция,0
ощущать ощутить испы тывать испытать чувствовать,воспринимать органами чувств почувствовать ощущать голод испытывать жажду ощущать жизнь чувствовать усталость чувствовать дыхание,0
орех,грецкий орех,0
искать, разыскивать,0
пока покамест пока что на первый раз на первый случай,в составе повелительных предложений выражает мягкое приказание совет,0
рациональный рационалистичный,рациональный,0
директор,управляющий,0
оборотный,научн обратимый,0
арбалетная стрела,скреплять скручивать болтами,0
друг приятель знакомый,молодой функционер начинающий деятель,0
грузин,грузинский язык,0
да светильник,ж Кендйль ижя собств мужское,0
близость интимность фамильярность,знакомство знание,0
вместе составить вместе отредактировать книгу,объединить и переформировать воинскую часть,0
подавать,выбрать,0
подавать,раскладывать показывать,0
СГРЕБАТЬ сгрести или сгресть что гресть в кучу,Сгребаться идти на веслах против ветру,0
